slug,path,id,words,h1_count,meta_title_len,meta_desc_len,issues
modern-cloud-working,/modern-cloud-working/,989818,441,0,0,0,HIGH:meta_desc; MEDIUM:no_h1
network-security-monitoring,/network-security-monitoring/,989839,298,0,0,0,FLAG:unsourced_number; HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
newry,/newry/,989781,602,1,0,0,FLAG:unsourced_number; HIGH:meta_desc
north-dublin,/north-dublin/,989793,459,1,0,0,FLAG:unsourced_number; HIGH:meta_desc
on-demand-structured-it-procurement,/on-demand-structured-it-procurement/,989820,182,0,0,0,HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
our-team,/our-team/,1295,790,1,0,0,HIGH:meta_desc
privacy-notice,/privacy-notice/,1648,2379,1,0,0,HIGH:meta_desc
procurement,/procurement/,989825,185,0,0,0,MEDIUM:ambiguous_cta; HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
professional-services,/professional-services/,989815,175,0,0,0,MEDIUM:ambiguous_cta; HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
saudi-cultural-bureau-case-study,/saudi-cultural-bureau-case-study/,989770,98,1,0,0,HIGH:thin_content; HIGH:meta_desc
secure-scalable-network-design,/secure-scalable-network-design/,989811,99,0,0,0,HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
service-level-agreements,/business-continuity/managed-services/service-level-agreements/,473,323,0,0,0,FLAG:unsourced_number; HIGH:meta_desc; MEDIUM:no_h1
software-acquisition,/software-acquisition/,989836,380,0,0,0,HIGH:meta_desc; MEDIUM:no_h1
software-license-management,/software-license-management/,989822,206,0,0,0,HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
south-dublin,/south-dublin/,989794,457,1,0,0,FLAG:unsourced_number; HIGH:meta_desc
spectrum-health-case-study,/spectrum-health-case-study/,989774,112,1,0,0,FLAG:unsourced_number; HIGH:thin_content; HIGH:meta_desc
spectrum-life-case-study,/spectrum-life-case-study/,989775,125,1,0,0,FLAG:unsourced_number; FLAG:unsourced_number; HIGH:thin_content; HIGH:meta_desc
startup-scale-case-study,/startup-scale-case-study/,989772,135,1,0,0,HIGH:thin_content; HIGH:meta_desc
strategic-procurement,/strategic-procurement/,989823,140,0,0,0,HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
supply-chain-logistics-amp-quality-control,/supply-chain-logistics-amp-quality-control/,989824,359,0,0,0,HIGH:meta_desc; MEDIUM:no_h1
third-party-services,/third-party-services/,989809,221,0,0,0,MEDIUM:ambiguous_cta; HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
virtualization-services,/virtualization-services/,989810,205,0,0,0,HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
voip-cloud-pbx-technology,/voip-cloud-pbx-technology/,989833,232,0,0,0,HIGH:thin_content; HIGH:meta_desc; MEDIUM:no_h1
west-dublin,/west-dublin/,989792,443,1,0,0,FLAG:unsourced_number; HIGH:meta_desc
wicklow,/wicklow/,989786,450,1,0,0,FLAG:unsourced_number; HIGH:meta_desc
